Date,raw,rm,w7
2017-08-18,0.002374444392813332,0.0015675987895996046,0.0022826182621597723
2017-08-21,-0.003978082848859617,-0.002871669095998931,-0.0021114616010836115
2017-08-22,0.005171856756013345,0.0037748754907318965,0.004154331574295802
2017-08-23,0.0016466415336843562,0.0007520773406074097,0.0004998860711237155
2017-08-24,0.0002063735377357925,-0.000680300695523515,0.0008344413409846667
2017-08-25,-0.0035275477700378566,-0.002555158204788229,-0.0038431959279151854
2017-08-28,0.0001165291086989628,8.360804615875996e-06,0.0023804481547750915
2017-08-29,0.00041914760728086267,0.00091344089419767,0.0012859846157042556
2017-08-30,0.0029427355006298285,0.0003966437472753244,0.0022654856478192924
2017-08-31,0.0011517911217850641,-0.0003401170606401843,0.003474492437108527
2017-09-01,-0.0007761592998085593,-0.0022014655738724436,-0.0026573704103889217
2017-09-05,-0.0037986965861636387,-0.003191240586019884,-0.0002255747554987839
2017-09-06,-0.0028899728139571766,-0.0029583256924635704,-0.0026976963745330863
2017-09-07,-0.0003721155437532803,-0.00039309619516830275,0.005158238512382013
